"run","tick","human_count","zombie_count"
21,1.0,196,14
21,2.0,195,15
21,3.0,195,15
21,4.0,195,15
21,5.0,194,16
21,6.0,193,17
21,7.0,193,17
21,8.0,193,17
21,9.0,193,17
21,10.0,193,17
21,11.0,192,18
21,12.0,192,18
21,13.0,192,18
21,14.0,191,19
21,15.0,189,21
21,16.0,187,23
21,17.0,187,23
21,18.0,184,26
21,19.0,181,29
21,20.0,180,30
21,21.0,179,31
21,22.0,178,32
21,23.0,177,33
21,24.0,177,33
21,25.0,176,34
21,26.0,175,35
21,27.0,173,37
21,28.0,171,39
21,29.0,171,39
21,30.0,169,41
21,31.0,165,45
21,32.0,163,47
21,33.0,161,49
21,34.0,158,52
21,35.0,155,55
21,36.0,153,57
21,37.0,151,59
21,38.0,151,59
21,39.0,149,61
21,40.0,148,62
21,41.0,142,68
21,42.0,141,69
21,43.0,139,71
21,44.0,135,75
21,45.0,132,78
21,46.0,132,78
21,47.0,130,80
21,48.0,129,81
21,49.0,127,83
21,50.0,124,86
21,51.0,120,90
21,52.0,118,92
21,53.0,118,92
21,54.0,114,96
21,55.0,112,98
21,56.0,108,102
21,57.0,102,108
21,58.0,98,112
21,59.0,94,116
21,60.0,89,121
21,61.0,87,123
21,62.0,83,127
21,63.0,80,130
21,64.0,79,131
21,65.0,77,133
21,66.0,72,138
21,67.0,70,140
21,68.0,67,143
21,69.0,64,146
21,70.0,62,148
21,71.0,62,148
21,72.0,60,150
21,73.0,60,150
21,74.0,57,153
21,75.0,55,155
21,76.0,52,158
21,77.0,50,160
21,78.0,50,160
21,79.0,48,162
21,80.0,45,165
21,81.0,43,167
21,82.0,40,170
21,83.0,38,172
21,84.0,35,175
21,85.0,34,176
21,86.0,34,176
21,87.0,30,180
21,88.0,29,181
21,89.0,28,182
21,90.0,24,186
21,91.0,22,188
21,92.0,21,189
21,93.0,21,189
21,94.0,20,190
21,95.0,20,190
21,96.0,19,191
21,97.0,19,191
21,98.0,19,191
21,99.0,19,191
21,100.0,18,192
21,101.0,17,193
21,102.0,15,195
21,103.0,15,195
21,104.0,13,197
21,105.0,13,197
21,106.0,13,197
21,107.0,13,197
21,108.0,12,198
21,109.0,11,199
21,110.0,11,199
21,111.0,9,201
21,112.0,9,201
21,113.0,9,201
21,114.0,9,201
21,115.0,8,202
21,116.0,8,202
21,117.0,8,202
21,118.0,7,203
21,119.0,6,204
21,120.0,6,204
21,121.0,5,205
21,122.0,5,205
21,123.0,4,206
21,124.0,4,206
21,125.0,4,206
21,126.0,4,206
21,127.0,4,206
21,128.0,4,206
21,129.0,3,207
21,130.0,3,207
21,131.0,3,207
21,132.0,3,207
21,133.0,3,207
21,134.0,3,207
21,135.0,3,207
21,136.0,2,208
21,137.0,2,208
21,138.0,1,209
21,139.0,1,209
21,140.0,1,209
21,141.0,1,209
21,142.0,1,209
21,143.0,1,209
21,144.0,1,209
21,145.0,0,210
21,146.0,0,210
21,147.0,0,210
21,148.0,0,210
21,149.0,0,210
21,150.0,0,210
